1931, 1931, 109, 0, 0, 0.789216673286085, 0.5, 0.565905604139587, 0.434094395860413, 0.030174719279987, 0.0170760427438835, 0.0216366979080452, 0.0378981569113969, 1.25595723226935
1931, 1931, 110, 0, 0, 0.805504385147956, 1.24145817010831, 1, 0, 0.0130986765361035, 0.0130986765361035, 0.0162614590033517, 0.0162614590033517, 1.24145817010831
1932, 1932, 0, 935760.175637037, 109460.73, 0.116975196049012, 0.305983708666113, 0.108191887405041, 0.891808112594959, 1e+05, 10819.1887405041, 92491.306755074, 5473964.75244112, 54.7396475244112
1932, 1932, 1, 920946.688841976, 36609.56, 0.0397520947124897, 0.5, 0.0389773784917651, 0.961022621508235, 89180.8112594959, 3476.03423466404, 87442.7941421639, 5381473.44568604, 60.3434008917813
1932, 1932, 2, 900165.336771776, 11610.5, 0.0128981860617275, 0.5, 0.0128155374683536, 0.987184462531646, 85704.7770248319, 1098.35278117863, 85155.6006342426, 5294030.65154388, 61.770543432019
1932, 1932, 3, 874379.874571395, 6086.26, 0.00696065883605037, 0.5, 0.00693651747024005, 0.99306348252976, 84606.4242436533, 586.873939860642, 84312.987273723, 5208875.05090964, 61.5659519649346
1932, 1932, 4, 876872.766044762, 4162.17, 0.00474660653309369, 0.5, 0.00473536806858821, 0.995264631931412, 84019.5503037926, 397.86349564572, 83820.6185559698, 5124562.06363591, 60.9924957358953
1932, 1932, 5, 882159.815198796, 3158.13, 0.00357999757593618, 0.5, 0.00357360083477325, 0.996426399165227, 83621.6868081469, 298.830529782742, 83472.2715432555, 5040741.44507995, 60.2803128887475
1932, 1932, 6, 886123.565265351, 2589.1, 0.00292182727272882, 0.5, 0.00291756496229043, 0.99708243503771, 83322.8562783642, 243.099846035717, 83201.3063553463, 4957269.17353669, 59.4947100346091
1932, 1932, 7, 876700.258278069, 2119.09, 0.00241712030992453, 0.5, 0.00241420260085513, 0.997585797399145, 83079.7564323285, 200.571364057338, 82979.4707502998, 4874067.86718134, 58.6673345768828
1932, 1932, 8, 890075.113681179, 1915.09, 0.00215160492700392, 0.5, 0.00214929271260891, 0.997850707287391, 82879.1850682711, 178.1316284942, 82790.119254024, 4791088.39643104, 57.8081021487412
1932, 1932, 9, 893010.89874047, 1724.07, 0.00193062593349273, 0.5, 0.00192876407252373, 0.998071235927476, 82701.0534397769, 159.510820634507, 82621.2980294597, 4708298.27717702, 56.9315393377137
1932, 1932, 10, 920333.421801863, 1664.07, 0.00180811645060333, 0.5, 0.00180648328453108, 0.998193516715469, 82541.5426191424, 149.10991702089, 82466.987660632, 4625676.97914756, 56.0405928017489
1932, 1932, 11, 849658.255885022, 1605.06, 0.00188906538468003, 0.5, 0.00188728278439048, 0.99811271721561, 82392.4327021215, 155.497819802765, 82314.6837922202, 4543209.99148693, 55.141107532439
1932, 1932, 12, 822873.073574859, 1565.06, 0.00190194581674767, 0.5, 0.0019001388361923, 0.998099861163808, 82236.9348823188, 156.261593739311, 82158.8040854491, 4460895.30769471, 54.2444257446883
1932, 1932, 13, 523650.734444039, 993.05, 0.00189639760756628, 0.5, 0.00189460114902313, 0.998105398850977, 82080.6732885794, 155.510137925135, 82002.9182196169, 4378736.50360926, 53.3467420304227
1932, 1932, 14, 498654.489940089, 1062.04, 0.00212981136523527, 0.5, 0.00212754572969769, 0.997872454270302, 81925.1631506543, 174.299531015961, 81838.0133851463, 4296733.58538964, 52.4470555827672
1932, 1932, 15, 552806.840538816, 1362.07, 0.00246391668864373, 0.5, 0.00246088498085714, 0.997539115019143, 81750.8636196384, 201.179472453669, 81650.2738834115, 4214895.5720045, 51.5578109561644
1932, 1932, 16, 701860.783628162, 2076.09, 0.00295797977095681, 0.5, 0.00295361140955645, 0.997046388590444, 81549.6841471847, 240.866077542849, 81429.2511084133, 4133245.29812108, 50.6837683228939
1932, 1932, 17, 802726.867981939, 2660.12, 0.00331385444551963, 0.5, 0.00330837271270891, 0.996691627287291, 81308.8180696418, 268.999875004216, 81174.3181321397, 4051816.04701267, 49.8324307646712
1932, 1932, 18, 808051.204666731, 2946.14, 0.00364598181771797, 0.5, 0.00363934732063826, 0.996360652679362, 81039.8181946376, 294.932045211666, 80892.3521720318, 3970641.72888053, 48.996182584517
1932, 1932, 19, 822805.21626089, 3194.13, 0.00388200018288074, 0.5, 0.00387447981720127, 0.996125520182799, 80744.8861494259, 312.844431728165, 80588.4639335619, 3889749.3767085, 48.1733217074596
1932, 1932, 20, 779386.209580021, 3295.14, 0.00422786541447226, 0.5, 0.00421894684474706, 0.995781053155253, 80432.0417176978, 339.338508621445, 80262.3724633871, 3809160.91277494, 47.3587494663435
1932, 1932, 21, 793122.272881189, 3446.15, 0.00434504252097361, 0.5, 0.0043356232872047, 0.995664376712795, 80092.7032090763, 347.251789168446, 79919.0773144921, 3728898.54031155, 46.557281636225
1932, 1932, 22, 773614.300464657, 3266.14, 0.00422192298932201, 0.5, 0.00421302944638482, 0.995786970553615, 79745.4514199079, 335.969935047322, 79577.4664523842, 3648979.46299706, 45.7578381967265
